edition_id,ad_category,quarter,ad_revenue,currency,comments
ED1006,A002,Q1-2020,49948.29,USD,
ED1004,A002,2020-Q2,42434.93,EUR,
ED1008,A004,2024-Q2,1714777,INR,
ED1005,A002,2021-Q2,58809.96,USD,
ED1006,A001,Q1-2023,3556118,INR,
ED1009,A003,Q3-2024,3242780,INR,
ED1005,A002,4th Qtr 2024,4284607,INR,
ED1004,A003,Q3-2022,4130337,IN RUPEES,
ED1004,A003,Q3-2024,1226711,INR,
ED1006,A004,2020-Q2,2848489,INR,
ED1006,A003,Q1-2021,34110.72,USD,
ED1004,A001,Q3-2019,4186647,INR,
ED1010,A002,4th Qtr 2021,30534.02,EUR,
ED1009,A002,4th Qtr 2019,47187.63,EUR,
ED1007,A004,2022-Q2,18283.01,USD,
ED1005,A001,4th Qtr 2023,3943869,IN RUPEES,
ED1008,A003,Q1-2019,1629690,INR,
ED1010,A004,Q1-2024,46596.27,USD,
ED1010,A003,2020-Q2,50542.95,USD,
ED1009,A004,4th Qtr 2024,19207.25,USD,
ED1009,A003,Q1-2022,4592455,INR,
ED1009,A004,Q3-2021,27018.28,USD,Seasonal drop in demand
ED1008,A001,2023-Q2,4967532,INR,
ED1009,A003,Q1-2019,21876.51,EUR,
ED1002,A001,Q1-2020,2646238,INR,
ED1004,A003,Q1-2021,25762.24,USD,
ED1003,A004,2020-Q2,2017027,INR,Festive push
ED1008,A004,Q3-2020,1878059,INR,
ED1001,A001,4th Qtr 2021,2104949,INR,
ED1008,A001,Q1-2022,2665096,INR,
ED1003,A001,Q1-2021,45565.06,EUR,
ED1009,A002,2022-Q2,1005833,INR,
ED1009,A003,Q3-2021,2349198,INR,
ED1010,A002,2021-Q2,3397133,INR,
ED1002,A001,4th Qtr 2020,2676615,INR,New FMCG client onboarded
ED1008,A002,4th Qtr 2023,4234838,INR,
ED1004,A001,Q1-2021,2456742,INR,
ED1008,A004,4th Qtr 2024,1607664,INR,
ED1007,A004,2021-Q2,1700195,INR,
ED1008,A003,Q1-2023,32444.49,USD,
ED1009,A004,Q3-2023,3402477,INR,
ED1003,A002,Q1-2024,3664114,INR,
ED1006,A001,Q3-2021,16038.69,USD,
ED1006,A003,Q1-2022,4117736,INR,
ED1009,A001,Q3-2021,2170763,INR,
ED1004,A004,Q1-2019,2809027,INR,
ED1001,A001,2019-Q2,3695135,INR,
ED1009,A003,2024-Q2,1478853,INR,
ED1008,A001,Q3-2022,4738474,INR,
ED1002,A004,Q1-2021,4774237,INR,
ED1008,A003,4th Qtr 2024,39884.89,USD,
ED1006,A001,4th Qtr 2022,2169207,INR,
ED1007,A003,4th Qtr 2024,4974528,INR,
ED1001,A003,4th Qtr 2022,4772787,INR,
ED1001,A002,Q3-2021,55134.24,USD,
ED1003,A001,Q3-2023,1973364,INR,
ED1002,A001,Q1-2024,1394357,INR,
ED1001,A001,2021-Q2,3966415,INR,
ED1009,A001,Q3-2023,21459.14,EUR,
ED1004,A002,Q1-2020,1570853,IN RUPEES,
ED1007,A001,4th Qtr 2023,1612425,INR,
ED1006,A001,Q3-2020,1623335,INR,
ED1005,A001,Q1-2019,36491.02,USD,
ED1006,A002,4th Qtr 2023,12290.23,USD,
ED1006,A003,Q3-2021,27832.44,EUR,New FMCG client onboarded
ED1009,A002,2020-Q2,4660210,INR,
ED1007,A003,Q3-2024,2336952,INR,
ED1002,A003,Q3-2024,1283216,INR,
ED1001,A004,Q1-2024,27265.55,USD,
ED1007,A002,2022-Q2,2425602,INR,
ED1002,A003,Q3-2023,4724579,IN RUPEES,
ED1010,A004,2023-Q2,2676505,INR,
ED1008,A001,2020-Q2,1271035,INR,
ED1001,A001,2024-Q2,18571.84,EUR,
ED1001,A003,Q1-2020,4541077,IN RUPEES,
ED1003,A003,Q1-2020,40112.34,EUR,
ED1001,A001,2022-Q2,3205772,INR,
ED1007,A004,Q1-2024,2112519,INR,
ED1006,A001,Q3-2020,3687266,INR,
ED1003,A001,Q3-2022,4205147,INR,
ED1004,A003,Q1-2019,2265768,INR,
ED1001,A002,2023-Q2,2483459,INR,
ED1005,A001,Q1-2023,2150662,INR,Festive push
ED1005,A002,Q3-2019,2500877,INR,
ED1004,A003,4th Qtr 2021,2039998,INR,
ED1007,A003,2021-Q2,4260601,INR,Real estate slowdown
ED1007,A001,4th Qtr 2020,1338225,INR,
ED1010,A003,4th Qtr 2024,4377444,INR,
ED1004,A004,2023-Q2,2622090,INR,
ED1003,A001,4th Qtr 2023,2948726,INR,
ED1003,A001,2020-Q2,2045271,IN RUPEES,Festive push
ED1008,A001,2023-Q2,16232.37,USD,
ED1006,A004,2022-Q2,16558.55,USD,
ED1007,A001,Q3-2022,3711664,IN RUPEES,
ED1002,A003,4th Qtr 2021,3150304,INR,
ED1008,A003,Q1-2024,31314.54,EUR,
ED1006,A001,2021-Q2,26069.72,EUR,
ED1001,A002,Q1-2019,4435378,INR,
ED1010,A002,4th Qtr 2020,1990495,INR,
ED1008,A003,4th Qtr 2023,1096674,INR,
ED1002,A001,Q3-2019,2936467,INR,
ED1003,A001,Q1-2024,30418.09,EUR,
ED1001,A003,4th Qtr 2021,30490.96,USD,
ED1008,A003,2019-Q2,3170086,INR,
ED1006,A004,Q3-2024,4540957,INR,
ED1007,A003,4th Qtr 2020,3184920,INR,
ED1006,A004,Q3-2019,4030737,INR,
ED1002,A001,Q3-2020,40774.12,USD,
ED1005,A003,2023-Q2,37086.6,USD,
ED1008,A002,Q1-2024,4624074,INR,
ED1005,A002,4th Qtr 2023,4129239,INR,
ED1004,A004,Q1-2021,35273.36,EUR,
ED1001,A004,Q1-2020,3709171,INR,
ED1005,A003,2021-Q2,1190378,INR,
ED1009,A002,Q1-2021,1654700,INR,
ED1006,A001,2021-Q2,4989760,INR,
ED1004,A004,4th Qtr 2023,2078245,INR,
ED1003,A002,4th Qtr 2020,12273.08,USD,
ED1010,A003,2024-Q2,1682639,INR,
ED1009,A001,4th Qtr 2024,2630209,INR,
ED1007,A004,2023-Q2,1600593,INR,
ED1010,A002,Q3-2023,2398271,INR,
ED1008,A002,Q1-2019,1676873,INR,
ED1004,A002,2021-Q2,3087268,INR,
ED1008,A003,Q1-2024,2895087,INR,Govt. reduced ad spend
ED1008,A004,4th Qtr 2023,4705301,INR,Festive push
ED1003,A001,4th Qtr 2022,1450598,INR,
ED1007,A001,Q3-2022,2773154,INR,
ED1010,A004,4th Qtr 2021,2003505,INR,
ED1008,A001,Q3-2019,36663.01,EUR,
ED1001,A002,4th Qtr 2023,48288.12,EUR,
ED1007,A004,Q3-2022,39750.9,USD,
ED1008,A001,Q3-2023,1294633,INR,Seasonal drop in demand
ED1004,A003,Q1-2022,1463619,INR,
ED1001,A004,4th Qtr 2020,1635330,INR,
ED1005,A001,Q1-2021,1298054,INR,
ED1007,A001,2021-Q2,48055.07,USD,
ED1003,A002,2020-Q2,16390.19,USD,
ED1004,A001,Q1-2024,4137507,IN RUPEES,
ED1003,A003,4th Qtr 2022,4320534,INR,
ED1006,A001,Q1-2021,4951068,INR,
ED1006,A001,2023-Q2,1928197,INR,
ED1007,A004,4th Qtr 2023,2774254,INR,
ED1005,A003,Q3-2023,4163232,INR,
ED1005,A003,Q3-2020,1986578,INR,
ED1010,A004,Q1-2020,3454438,INR,New FMCG client onboarded
ED1002,A002,4th Qtr 2023,3263186,INR,
ED1010,A002,2020-Q2,17146.08,USD,Price hike concern
ED1002,A002,2021-Q2,1599170,INR,
ED1006,A001,Q1-2020,4563048,INR,
ED1002,A004,2020-Q2,3624128,INR,
ED1007,A001,Q1-2021,1095249,INR,
ED1005,A003,Q3-2022,14633.61,USD,
ED1003,A003,4th Qtr 2024,2368313,INR,
ED1007,A003,4th Qtr 2021,2062449,INR,
ED1002,A001,Q1-2023,2867547,INR,
ED1009,A004,Q1-2022,4945671,INR,
ED1001,A001,Q3-2020,2179280,INR,
ED1010,A001,2023-Q2,49436.5,EUR,
ED1001,A004,4th Qtr 2024,1796584,INR,
ED1002,A004,4th Qtr 2021,3341770,INR,
ED1004,A001,Q3-2023,35322.16,USD,
ED1007,A002,2019-Q2,4981620,INR,
ED1002,A003,Q3-2021,17092.9,USD,Real estate slowdown
